,name,full_name,birth_date,age,height_cm,weight_kgs,body_mass_index,positions,primary_position,nationality,overall_rating,potential,value_euro,wage_euro,preferred_foot,international_reputation(1-5),weak_foot(1-5),skill_moves(1-5),body_type,release_clause_euro,setpiece_stats,attacking_stats,skill_stats,movement_stats,power_stats,mentality_stats,defending_stats
10918,G. Vadalá,Guido Nahuel Vadalá,02/08/97,22,167.64,64.9,23.09,"CAM,LM,ST",CAM,Argentina,66,76,1000000.0,5000.0,Right,1,3,3,Normal,0.0,61.0,56.4,67.0,73.8,55.8,48.0,22.0
10919,A. Juel Andersen,Alexander Juel Andersen,01/29/91,28,187.96,83.9,23.75,"RB,CB",RB,Denmark,66,66,525000.0,3000.0,Right,1,3,2,Normal,656000.0,53.0,55.2,52.6,67.6,63.8,57.5,64.0
10920,B. Maubleu,Brice Maubleu,12/01/89,29,193.04,83.0,22.27,GK,GK,France,66,68,550000.0,2000.0,Right,1,3,1,Normal,1000000.0,22.5,18.0,19.4,42.8,44.0,26.0,10.0
10921,W. Eskelinen,William Eskelinen,09/03/96,22,190.5,83.9,23.12,GK,GK,Sweden,66,73,675000.0,1000.0,Right,1,2,1,Normal,979000.0,27.0,22.8,22.8,41.0,36.0,25.0,16.67
10922,A. Al Mayoof,Abdullah Al Mayoof,01/23/87,32,187.96,96.2,27.23,GK,GK,Saudi Arabia,66,66,400000.0,8000.0,Right,1,3,1,Normal,680000.0,20.5,18.8,20.0,49.0,40.8,24.0,22.0
10923,D. Stahl,Dominik Stahl,08/20/88,30,182.88,78.9,23.59,"CDM,CM",CDM,Germany,66,66,500000.0,2000.0,Right,1,4,2,Normal,725000.0,52.5,55.8,56.2,64.0,74.8,62.33,66.0
10924,A. Matuszczyk,Adam Matuszczyk,02/14/89,30,182.88,73.0,21.83,"CDM,CM",CDM,Poland,66,66,500000.0,3000.0,Right,1,4,3,Lean,725000.0,58.25,62.0,62.0,65.8,69.2,60.83,63.67
10925,Nelson Ferreira,Nelson Ferreira Coelho,05/26/82,36,175.26,72.1,23.47,"LM,RM,CAM",LM,Portugal,66,66,220000.0,3000.0,Right,1,4,3,Lean,319000.0,67.75,60.2,62.6,72.8,67.8,64.0,51.33
10926,L. Fiordilino,Antonio Fiordilino,07/25/96,22,152.4,68.0,29.28,"CM,LM",CM,Italy,66,76,1000000.0,1000.0,Right,1,4,3,Lean,1900000.0,60.0,56.4,64.2,73.2,61.2,57.5,61.67
10927,H. Kane,Herbie Kane,11/23/98,20,152.4,67.1,28.89,CM,CM,England,66,76,1000000.0,11000.0,Right,1,3,3,Normal,0.0,53.0,56.0,57.6,70.0,59.8,59.17,56.0
10928,J. Bandowski,Jannik Bandowski,03/30/94,24,190.5,81.2,22.38,"LB,LM",LB,Germany,66,70,700000.0,4000.0,Left,1,3,2,Lean,1200000.0,50.0,58.2,53.0,70.0,61.4,53.0,57.0
10929,M. Lepe,Michael Lepe,08/13/90,28,152.4,77.1,33.2,"CM,CDM,CAM",CM,Chile,66,66,650000.0,2000.0,Right,1,3,2,Lean,878000.0,50.5,52.0,51.4,58.2,61.6,61.67,55.0
10930,Y. Mosquera,Yohn Géiler Mosquera Martínez,04/15/89,29,152.4,79.8,34.36,"CDM,CM",CDM,Colombia,66,66,500000.0,1000.0,Right,1,2,2,Normal,675000.0,48.5,50.2,52.4,64.0,65.8,54.67,63.33
10931,A. Kann,Alec Kann,08/08/90,28,193.04,86.2,23.13,GK,GK,United States,66,68,525000.0,2000.0,Left,1,3,1,Lean,827000.0,21.0,17.8,18.8,43.8,42.8,32.0,13.33
10932,J. Grimmer,Jack Grimmer,01/25/94,25,182.88,83.0,24.82,RB,RB,Scotland,66,70,700000.0,3000.0,Right,1,3,2,Normal,1300000.0,52.0,56.0,53.6,72.0,61.2,55.17,62.33
10933,C. Main,Curtis Main,06/20/92,26,182.88,86.2,25.77,ST,ST,England,66,68,800000.0,3000.0,Right,1,3,2,Stocky,1500000.0,47.25,58.4,46.4,64.6,74.4,54.67,31.33
10934,M. Booysen,Mario Booysen,08/15/88,30,193.04,78.0,20.93,"CB,CDM",CB,South Africa,66,66,500000.0,1000.0,Right,1,3,2,Normal,1100000.0,40.75,41.2,43.0,64.4,64.6,50.33,72.0
10935,A. Hadouir,Anouar Hadouir,09/14/82,36,172.72,68.0,22.79,"CAM,LM",CAM,Netherlands,66,66,280000.0,2000.0,Right,1,4,3,Normal,406000.0,65.0,60.2,69.2,68.6,55.8,56.5,28.33
10936,Choi Bo Kyung,최보경 财博炅,04/12/88,30,182.88,78.9,23.59,CB,CB,Korea Republic,66,66,475000.0,3000.0,Left,1,3,2,Normal,618000.0,46.0,49.8,45.8,66.0,62.2,53.83,61.33
10937,R. Söder,Robin Söder,04/01/91,27,152.4,71.2,30.66,"ST,LW",ST,Sweden,66,66,675000.0,2000.0,Right,1,3,3,Lean,844000.0,48.5,58.2,55.2,76.2,69.2,53.33,29.33
10938,J. González,Jairo Daniel González Fajardo,02/27/92,27,170.18,76.2,26.31,"LB,LM",LB,Mexico,66,67,625000.0,4000.0,Left,1,2,3,Stocky,0.0,62.25,56.6,63.2,67.6,64.4,58.5,68.33
10939,I. Groothuizen,Indy Groothuizen,07/22/96,22,190.5,88.0,24.25,GK,GK,Netherlands,66,72,650000.0,1000.0,Right,1,4,1,Normal,1100000.0,17.0,18.2,17.8,33.4,37.0,25.67,11.0
10940,F. Pierrot,Frantzdy Pierrot,03/29/95,23,193.04,93.0,24.96,ST,ST,Haiti,66,71,875000.0,4000.0,Right,1,3,2,Stocky,1300000.0,43.0,60.6,42.6,52.0,68.8,51.33,23.67
10941,Y. Hurtado,Yhorman David Hurtado Torres,12/14/96,22,170.18,67.1,23.17,RB,RB,Colombia,66,76,900000.0,1000.0,Right,1,2,2,Lean,1400000.0,51.5,52.2,47.0,69.8,63.6,55.0,63.0
10942,H. Hajradinović,Haris Hajradinović,02/18/94,25,152.4,73.9,31.82,"CAM,CM",CAM,Bosnia Herzegovina,66,70,850000.0,4000.0,Left,1,3,3,Normal,1800000.0,64.75,57.6,65.4,73.0,66.8,63.0,47.0
10943,I. Santillán,Iván Santillán,05/06/91,27,172.72,72.1,24.17,"LB,LM",LB,Peru,66,66,525000.0,3000.0,Left,1,2,3,Lean,866000.0,61.75,57.4,61.8,69.0,64.2,59.83,64.0
10944,E. Suagher,Emanuele Suagher,11/26/92,26,193.04,82.1,22.03,CB,CB,Italy,66,67,625000.0,7000.0,Right,1,2,2,Lean,0.0,30.75,35.0,38.0,59.4,65.6,44.33,64.67
10945,José Ángel,José Ángel Jurado de la Torre,06/21/92,26,182.88,73.9,22.1,"CM,CDM",CM,Spain,66,69,775000.0,2000.0,Left,1,3,2,Lean,1000000.0,63.5,52.0,63.2,63.0,66.2,67.0,59.0
10946,J. Huyghebaert,Jérémy Huyghebaert,01/07/89,30,154.94,73.9,30.78,"LB,CB,LWB",LB,Belgium,66,66,475000.0,4000.0,Left,1,2,2,Lean,0.0,55.75,50.6,57.2,66.8,60.6,55.67,65.67
10947,B. Jayiya,Bhongolwethu Jayiya,03/21/90,28,175.26,64.9,21.13,"RW,RM,CM,CAM",RW,South Africa,66,66,650000.0,1000.0,Right,1,3,3,Normal,1400000.0,56.75,61.0,54.2,76.2,68.2,58.83,39.0
10948,W. Kvist,William Vitved Kvist Jørgensen,02/24/85,34,182.88,79.8,23.86,CM,CM,Denmark,66,66,375000.0,6000.0,Right,1,3,2,Normal,488000.0,61.5,58.2,60.2,55.8,64.8,65.0,69.33
10949,L. Morgan,Lewis Morgan,09/30/96,22,152.4,74.8,32.21,"LM,RM,ST",LM,Scotland,66,75,1000000.0,10000.0,Right,1,5,3,Normal,0.0,57.0,54.4,63.4,73.2,61.6,51.67,32.33
10950,O. Thioune,Ousseynou Thioune,11/16/93,25,154.94,72.1,30.03,CM,CM,Senegal,66,69,800000.0,3000.0,Right,1,3,2,Lean,1300000.0,57.5,60.2,59.6,61.4,61.8,57.83,63.33
10951,X. Emmers,Xian Emmers,07/20/99,19,152.4,72.1,31.04,CM,CM,Belgium,66,78,1100000.0,7000.0,Right,1,4,3,Lean,0.0,58.75,54.2,64.0,64.8,55.6,56.17,55.67
10952,T. Yamashita,山下 達也,11/07/87,31,182.88,73.0,21.83,CB,CB,Japan,66,66,475000.0,3000.0,Right,1,2,2,Lean,594000.0,31.0,42.6,31.2,61.8,61.2,41.33,65.0
10953,R. Inniss,Ryan Inniss,06/05/95,23,195.58,83.9,21.93,CB,CB,England,66,73,775000.0,11000.0,Right,1,3,2,Normal,1600000.0,39.25,41.4,41.0,37.4,59.4,48.83,63.33
10954,S. Clark,Steve Clark,04/14/86,32,187.96,87.1,24.65,GK,GK,United States,66,66,375000.0,2000.0,Right,1,3,1,Normal,563000.0,26.0,17.4,22.8,45.0,34.6,31.33,14.33
10955,G. Rolando,Gabriele Rolando,04/02/95,23,182.88,71.2,21.29,"RM,LM",RM,Italy,66,73,900000.0,8000.0,Right,1,3,3,Lean,0.0,60.25,53.8,62.2,73.6,60.8,57.33,59.33
10956,D. Doekhi,Danilho Doekhi,06/30/98,20,190.5,83.0,22.87,CB,CB,Netherlands,66,75,875000.0,3000.0,Right,1,3,2,Normal,1500000.0,45.75,47.0,51.4,60.8,63.2,54.33,62.33
10957,K. Mahlasela,Kabelo Mahlasela,02/13/91,28,175.26,64.9,21.13,"CAM,RW,RM",CAM,South Africa,66,66,675000.0,1000.0,Right,1,2,3,Lean,1500000.0,50.5,48.4,60.0,69.6,48.0,51.33,49.33
10958,J. Ekstrand,Joel Ekstrand,02/04/89,30,187.96,77.1,21.82,CB,CB,Sweden,66,66,500000.0,3000.0,Right,1,3,2,Lean,625000.0,44.0,44.8,46.0,46.2,50.0,54.83,64.67
10959,I. Lapshov,Ivan Lapshov,05/01/99,19,187.96,76.2,21.57,CB,CB,Russia,66,78,975000.0,1000.0,Right,1,2,2,Normal,2200000.0,52.0,50.0,45.0,67.8,56.4,56.0,65.0
10960,G. Viscarra,Guillermo Viscarra,02/07/93,26,190.5,79.8,21.99,GK,GK,Bolivia,66,71,700000.0,3000.0,Right,1,3,1,Lean,0.0,15.5,11.8,13.8,31.6,35.6,20.33,13.33
10961,M. El Allouchi,Mounir El Allouchi,08/27/94,24,172.72,72.1,24.17,"LM,CAM,CM",LM,Morocco,66,70,850000.0,3000.0,Right,1,3,3,Normal,1300000.0,61.0,58.0,66.4,70.2,62.6,59.5,53.33
10962,J. Kauko,Joni Kauko,07/12/90,28,187.96,84.8,24.0,CM,CM,Finland,66,66,650000.0,3000.0,Right,1,3,2,Normal,813000.0,47.75,54.2,52.0,61.2,69.6,63.0,65.33
10963,R. Austin,Rodolph Austin,06/01/85,33,182.88,78.0,23.32,"CB,CDM",CB,Jamaica,66,66,260000.0,3000.0,Right,1,3,2,Stocky,325000.0,56.75,54.6,57.6,47.2,69.2,63.33,63.0
10964,D. Kikuchi,菊池 大介,04/12/91,27,172.72,68.0,22.79,LM,LM,Japan,66,66,675000.0,4000.0,Right,1,4,2,Lean,878000.0,55.75,56.6,59.8,73.6,68.2,54.83,31.0
10965,M. Răduţ,Mihai Răduţ,03/18/90,28,152.4,64.9,27.94,"LM,CAM",LM,Romania,66,66,650000.0,3000.0,Right,1,4,3,Normal,878000.0,62.0,57.4,62.4,73.2,61.0,56.33,43.0
10966,J. Löhmannsröben,Jan Löhmannsröben,04/21/91,27,185.42,87.1,25.33,CDM,CDM,Germany,66,67,600000.0,2000.0,Right,1,3,2,Stocky,915000.0,51.25,50.8,49.8,56.4,69.4,58.17,65.0
10967,J. Obika,Jonathan Chiedozie Obika,09/12/90,28,182.88,76.2,22.78,ST,ST,England,66,66,675000.0,4000.0,Left,1,2,2,Normal,1200000.0,44.75,54.2,52.8,65.2,67.4,50.17,35.33
10968,O. Azubuike,Okechukwu Azubuike,04/19/97,21,170.18,73.0,25.21,"CDM,CM",CDM,Nigeria,66,76,925000.0,3000.0,Right,1,3,2,Normal,2000000.0,48.5,49.4,57.2,69.2,60.6,48.67,62.33
10969,M. Odjer,Moses Odjer,08/17/96,22,170.18,68.9,23.79,CM,CM,Ghana,66,75,975000.0,1000.0,Right,1,2,3,Lean,1800000.0,42.75,46.0,52.0,80.6,74.2,60.5,64.0
10970,I. Tarasovs,Igors Tarasovs,10/16/88,30,190.5,84.8,23.37,"CB,CDM",CB,Latvia,66,66,500000.0,3000.0,Right,1,3,2,Lean,675000.0,49.0,53.4,50.0,62.6,63.0,58.5,64.0
10971,P. Stolarski,Paweł Stolarski,01/28/96,23,154.94,73.9,30.78,"RB,RM",RB,Poland,66,75,850000.0,3000.0,Right,1,3,2,Normal,1400000.0,55.5,58.4,54.4,74.0,59.6,56.17,58.0
10972,T. Charles,Tomás Patricio Charles,06/12/85,33,182.88,78.9,23.59,"CB,LB",CB,Argentina,66,66,260000.0,1000.0,Left,1,2,2,Lean,351000.0,54.75,60.2,56.0,52.0,64.4,58.33,64.67
10973,T. Naylor,Tom Naylor,06/28/91,27,187.96,72.1,20.41,"CDM,CM,CB",CDM,England,66,68,625000.0,4000.0,Right,1,3,2,Normal,1100000.0,53.0,58.0,58.0,64.4,71.2,60.0,64.0
10974,O. Beckles,Omar Beckles,10/25/91,27,190.5,78.0,21.49,"LB,CB",LB,England,66,67,625000.0,3000.0,Right,1,3,2,Stocky,1100000.0,40.0,42.8,39.4,67.0,62.6,45.5,64.67
10975,B. Eleke,Blessing Eleke,03/05/96,23,190.5,88.0,24.25,"ST,RM",ST,Nigeria,66,75,1000000.0,5000.0,Right,1,3,2,Normal,1700000.0,53.25,61.0,53.6,63.2,72.0,60.17,40.0
10976,Y. Etienne,Yoann Etienne,05/19/97,21,175.26,69.9,22.76,"LB,LWB",LB,France,66,75,850000.0,3000.0,Left,1,3,2,Normal,1400000.0,58.25,50.2,60.8,73.2,59.2,55.67,65.33
10977,O. Rodríguez,Osvaldo Rodríguez del Portal,09/10/96,22,175.26,73.0,23.77,LB,LB,Mexico,66,77,975000.0,5000.0,Left,1,2,3,Lean,0.0,54.25,54.0,55.8,66.6,53.8,54.5,67.67
10978,C. Mac-Intosch,Calvin Mac-Intosch,08/09/89,29,154.94,78.0,32.49,"CB,RB",CB,Netherlands,66,66,525000.0,3000.0,Right,1,3,2,Normal,761000.0,45.75,46.2,50.0,62.2,60.6,49.33,65.33
10979,R. Fennell,Royal-Dominique Fennell,06/05/89,29,182.88,82.1,24.55,"CB,CDM",CB,United States,66,66,500000.0,1000.0,Right,1,5,2,Normal,725000.0,59.5,54.0,61.0,66.4,72.8,62.33,60.0
10980,C. Harriott,Callum Harriott,03/04/94,25,165.1,66.2,24.29,"RM,LM",RM,England,66,72,875000.0,8000.0,Left,1,3,3,Normal,1800000.0,57.25,53.2,60.6,80.8,58.8,51.67,30.33
10981,A. Fukumori,福森 晃斗,12/16/92,26,182.88,74.8,22.37,"CB,LB",CB,Japan,66,69,675000.0,1000.0,Left,1,3,2,Normal,894000.0,64.25,55.6,63.0,64.4,68.4,56.0,68.0
10982,K. Hafez,Karim Hafez  Ramadan,03/12/96,22,175.26,73.0,23.77,LB,LB,Egypt,66,73,750000.0,4000.0,Left,1,4,3,Stocky,1700000.0,56.0,46.0,61.8,71.4,61.6,54.17,65.33
10983,Yoon Seung Won,윤승원 尹炫午,02/11/95,24,185.42,73.9,21.49,"LW,RM",LW,Korea Republic,66,71,850000.0,3000.0,Left,1,4,3,Lean,1100000.0,59.0,61.0,55.4,71.2,64.0,54.0,25.0
10984,L. Crecco,Luca Crecco,09/06/95,23,182.88,76.2,22.78,"CM,LM",CM,Italy,66,74,925000.0,1000.0,Left,1,2,3,Normal,1600000.0,54.75,58.4,55.6,64.4,61.8,62.0,53.0
10985,I. Alhassan,Ibrahim Alhassan,11/03/96,22,187.96,72.1,20.41,"CDM,CM",CDM,Nigeria,66,70,725000.0,2000.0,Right,1,3,2,Lean,1600000.0,55.5,60.6,57.6,61.0,63.2,65.33,61.67
10986,L. Nmecha,Lukas Nmecha,12/14/98,20,185.42,69.9,20.33,ST,ST,England,66,83,1400000.0,3000.0,Right,1,4,3,Normal,3500000.0,41.75,51.2,46.4,69.0,64.6,51.83,23.33
10987,J. Ginnelly,Josh Ginnelly,03/24/97,21,172.72,64.9,21.76,LM,LM,England,66,74,950000.0,3000.0,Right,1,4,3,Lean,2000000.0,56.25,53.6,59.8,80.8,64.0,53.5,44.33
10988,F. Kaufmann,Fabio Kaufmann,09/08/92,26,154.94,72.1,30.03,"RM,RWB,RB",RM,Germany,66,67,775000.0,3000.0,Right,1,3,3,Lean,1200000.0,59.0,54.0,58.6,77.2,68.8,57.0,52.67
10989,D. Gomis,David Cafimipon Gomis,12/21/92,26,172.72,68.0,22.79,"LM,RM,RW,CM",LM,France,66,67,775000.0,2000.0,Right,1,3,3,Lean,1400000.0,57.0,55.2,59.6,66.0,55.4,50.33,42.33
10990,L. Craig,Liam Craig,12/27/86,32,182.88,82.1,24.55,"CM,LM",CM,Scotland,66,66,550000.0,3000.0,Left,1,3,3,Normal,963000.0,67.5,62.0,67.4,68.0,69.4,64.17,61.67
10991,R. Vanegas,Ray Andrés Vanegas Zúñiga,03/12/93,25,175.26,72.1,23.47,"LM,ST",LM,Colombia,66,69,800000.0,1000.0,Right,1,2,3,Normal,1100000.0,54.5,57.0,57.2,76.4,68.8,56.0,28.67
10992,A. Al Salem,Abdullah Al Salem,12/19/92,26,182.88,73.9,22.1,"CAM,ST",CAM,Saudi Arabia,66,68,775000.0,6000.0,Right,1,3,3,Normal,0.0,56.0,57.4,62.0,62.8,67.8,60.83,53.0
10993,G. Kuświk,Grzegorz Kuświk,05/23/87,31,154.94,74.8,31.16,ST,ST,Poland,66,66,575000.0,3000.0,Right,1,2,3,Normal,776000.0,56.25,63.6,55.4,66.4,71.6,53.33,23.33
10994,A. Cook,Andy Cook,10/18/90,28,185.42,72.1,20.97,ST,ST,England,66,66,675000.0,3000.0,Right,1,4,2,Stocky,1200000.0,51.25,58.2,54.2,61.2,74.0,57.33,20.33
10995,O. Käuper,Ole Käuper,01/09/97,22,187.96,77.1,21.82,"CM,CAM,LM",CM,Germany,66,76,1000000.0,6000.0,Left,1,4,2,Lean,0.0,53.5,55.8,57.2,61.4,61.6,57.17,55.0
10996,M. Domínguez,Josué Misael Domínguez González,10/27/99,19,160.02,58.1,22.69,LM,LM,Mexico,66,75,925000.0,6000.0,Left,1,3,3,Normal,0.0,63.0,57.4,59.0,69.4,63.2,49.83,42.0
10997,J. Eilers,Justin Eilers,06/13/88,30,187.96,77.1,21.82,"RM,LM",RM,Germany,66,66,600000.0,1000.0,Right,1,4,3,Lean,870000.0,61.0,59.6,55.4,71.8,66.0,59.83,27.33
10998,M. Lackner,Markus Lackner,04/05/91,27,193.04,74.8,20.07,"CDM,CM,CB",CDM,Austria,66,69,650000.0,6000.0,Right,1,3,2,Normal,991000.0,53.0,51.0,47.8,49.8,60.8,59.0,65.67
10999,M. Høibråten,Marius Høibråten,01/23/95,24,182.88,77.1,23.05,CB,CB,Norway,66,75,850000.0,1000.0,Left,1,2,2,Normal,1200000.0,43.0,42.2,44.0,66.6,63.2,51.17,63.0
11000,A. Ajeti,Arlind Ajeti,09/25/93,25,182.88,77.1,23.05,CB,CB,Albania,66,70,700000.0,4000.0,Right,2,1,2,Normal,1100000.0,47.5,47.6,46.2,62.0,58.0,53.0,64.67
11001,R. Mulumba,Rémi Mulumba,11/02/92,26,154.94,76.2,31.74,"CDM,CM",CDM,DR Congo,66,70,700000.0,3000.0,Right,1,3,2,Normal,1100000.0,65.0,57.2,64.2,61.8,64.6,62.5,62.67
11002,S. Diakité,Samba Diakité,01/24/89,30,185.42,79.8,23.21,"CM,CDM",CM,Mali,66,66,625000.0,2000.0,Right,1,3,3,Normal,1100000.0,58.5,53.2,56.8,65.4,71.6,64.0,61.0
11003,T. Mears,Tyrone Mears,02/18/83,36,154.94,73.9,30.78,RB,RB,England,66,66,140000.0,6000.0,Right,1,3,3,Normal,266000.0,62.5,56.6,66.2,65.8,61.8,60.83,65.67
11004,D. Gorter,Donny Gorter,06/15/88,30,175.26,69.9,22.76,CM,CM,Netherlands,66,66,600000.0,3000.0,Left,1,4,3,Normal,900000.0,71.0,61.4,67.0,66.8,68.0,70.5,64.67
11005,M. Fetsch,Mathias Fetsch,09/30/88,30,187.96,82.1,23.24,ST,ST,Germany,66,66,650000.0,2000.0,Right,1,3,2,Normal,943000.0,48.75,57.6,49.0,54.8,67.2,59.17,30.33
11006,D. Wotherspoon,David Wotherspoon,01/16/90,29,154.94,76.2,31.74,"LM,RM,CM",LM,Canada,66,66,650000.0,3000.0,Right,1,4,3,Normal,1100000.0,61.5,56.8,66.8,69.6,68.2,55.67,58.67
11007,R. Matondo,Rabbi Matondo,09/09/00,18,175.26,66.2,21.55,"RM,LM",RM,Wales,66,85,1300000.0,4000.0,Right,1,3,3,Lean,3000000.0,53.25,58.2,56.8,77.4,54.4,45.33,30.0
11008,O. Ba,Ousseynou Ba,11/11/95,23,193.04,83.9,22.51,CB,CB,Senegal,66,75,850000.0,2000.0,Right,1,3,2,Lean,1700000.0,39.5,41.0,37.8,60.4,60.4,48.67,64.33
11009,L. Lezzerini,Luca Lezzerini,03/24/95,23,195.58,86.2,22.54,GK,GK,Italy,66,74,700000.0,1000.0,Right,1,2,1,Lean,1200000.0,18.75,17.2,17.8,47.0,38.0,28.0,17.33
11010,Y. Nakano,中野 嘉大,02/24/93,26,175.26,66.2,21.55,"LM,RM,LWB,CM",LM,Japan,66,67,775000.0,2000.0,Right,1,4,3,Lean,1000000.0,59.5,54.8,60.4,75.6,58.8,55.67,29.0
11011,Andrés Prieto,Andrés Tomás Prieto Albert,10/17/93,25,193.04,93.0,24.96,GK,GK,Spain,66,70,600000.0,5000.0,Right,1,2,1,Stocky,1300000.0,19.75,19.4,18.2,39.8,42.4,26.17,14.33
11012,E. Lee,Elliot Lee,12/16/94,24,154.94,72.1,30.03,"CAM,ST",CAM,England,66,71,850000.0,3000.0,Right,1,3,3,Stocky,1600000.0,55.0,60.8,58.8,68.4,63.6,56.83,28.67
11013,B. Galloway,Brendan Galloway,03/17/96,22,185.42,73.9,21.49,LB,LB,England,66,71,725000.0,17000.0,Left,1,3,2,Lean,1400000.0,47.25,49.2,48.0,69.2,56.8,53.0,67.0
11014,Y. Thuram,Yohann Thuram-Ulien,10/31/88,30,187.96,84.8,24.0,GK,GK,France,66,66,425000.0,2000.0,Right,2,2,1,Normal,744000.0,23.75,16.2,18.2,51.8,47.6,30.17,13.0
11015,C. Doucouré,Cheick Oumar Doucoure,01/08/00,19,154.94,73.0,30.41,CDM,CDM,Mali,66,80,1200000.0,1000.0,Right,1,3,3,Normal,2800000.0,51.0,51.2,56.2,68.4,57.0,58.33,64.33
11016,Jordi Quintillà,Jordi Quintillà Guasch,10/25/93,25,152.4,69.9,30.1,"CM,CAM",CM,Spain,66,71,850000.0,4000.0,Left,1,2,3,Lean,1300000.0,62.5,54.4,68.2,71.6,58.0,56.5,53.67
11017,B. Blume,Bror Blume,01/22/92,27,175.26,73.0,23.77,"CAM,CM,RM",CAM,Denmark,66,67,750000.0,4000.0,Right,1,3,3,Normal,994000.0,50.5,51.8,56.0,74.6,61.2,55.0,47.33
11018,Milton Raphael,Milton Raphael Guimarães Pires,05/11/91,27,187.96,81.2,22.98,GK,GK,Brazil,66,69,550000.0,2000.0,Right,1,2,1,Normal,1200000.0,16.0,13.6,15.4,32.6,29.2,21.33,14.67
11019,Z. Mebarakou,Zidane Mebarakou,01/03/89,30,187.96,79.8,22.59,CB,CB,Algeria,66,66,500000.0,7000.0,Left,1,3,2,Normal,825000.0,37.75,44.2,39.4,51.6,57.8,49.0,63.33
11020,Domingos Quina,Domingos Quina,11/18/99,19,175.26,66.2,21.55,"CAM,CM,CDM",CAM,Portugal,66,82,1300000.0,7000.0,Right,1,3,3,Lean,3300000.0,55.0,51.8,61.4,72.0,55.6,54.67,39.67
11021,C. Traoré,Charles Traoré,01/01/92,27,154.94,73.9,30.78,LB,LB,Mali,66,67,625000.0,7000.0,Left,1,2,2,Normal,1200000.0,50.0,45.6,51.6,69.0,58.4,55.0,67.0
11022,D. Lowe,Damion Lowe,05/05/93,25,190.5,79.8,21.99,CB,CB,Jamaica,66,72,750000.0,1000.0,Right,1,3,2,Lean,1100000.0,34.5,35.4,41.0,60.0,54.8,48.83,64.0
11023,J. Schoop,Jacob Schoop,12/23/88,30,175.26,68.0,22.14,"CM,CDM",CM,Denmark,66,66,625000.0,4000.0,Left,1,2,2,Normal,781000.0,56.5,59.4,58.2,73.0,70.6,55.67,62.67
11024,M. Atwa,Mohamed Atwa,07/15/90,28,182.88,78.0,23.32,CB,CB,Egypt,66,67,600000.0,6000.0,Right,1,2,2,Normal,1000000.0,35.75,40.6,36.0,61.8,66.2,48.5,64.67
11025,P. Neumann,Phil Neumann,07/08/97,21,193.04,82.1,22.03,"CB,RB",CB,Germany,66,75,875000.0,5000.0,Right,1,3,2,Lean,1600000.0,48.5,50.2,46.2,58.0,54.2,53.0,66.67
11026,Imanol García,Imanol García Lugea,12/26/95,23,182.88,74.8,22.37,CM,CM,Spain,66,73,900000.0,3000.0,Right,1,3,3,Normal,0.0,51.75,56.2,58.6,68.0,62.0,62.83,60.0
11027,A. Sigurðarson,Aron Sigurðarson,10/08/93,25,152.4,69.9,30.1,"LW,RW",LW,Iceland,66,69,825000.0,2000.0,Right,1,3,3,Lean,1100000.0,57.75,56.8,61.0,73.6,62.0,53.17,37.67
11028,K. Moriya,森谷 贤太郎,09/21/88,30,172.72,64.9,21.76,"CDM,RM,LM",CDM,Japan,66,66,500000.0,2000.0,Right,1,3,3,Lean,625000.0,60.25,57.0,61.0,75.2,64.2,61.67,57.67
11029,T. Sekine,関根 貴大,04/19/95,23,167.64,60.8,21.63,"RM,LM",RM,Japan,66,71,850000.0,7000.0,Right,1,3,2,Lean,0.0,52.5,54.6,52.8,78.2,52.0,51.67,29.0
11030,M. Wostry,Markus Wostry,07/19/92,26,182.88,73.9,22.1,CB,CB,Austria,66,70,700000.0,3000.0,Right,1,3,2,Lean,1100000.0,36.75,44.6,36.4,54.0,61.4,46.0,67.0
11031,C. Wyke,Charlie Wyke,12/06/92,26,185.42,73.9,21.49,ST,ST,England,66,69,825000.0,5000.0,Right,1,3,2,Stocky,1500000.0,44.25,57.2,50.6,67.4,70.8,53.83,20.67
11032,J. Gatt,Joshua Gatt,08/29/91,27,152.4,73.0,31.43,"LM,RM,ST",LM,United States,66,66,700000.0,4000.0,Right,1,3,4,Normal,1000000.0,49.5,55.6,55.2,78.0,61.2,57.83,42.0
11033,C. Munder,César Augusto Munder Rodríguez,01/07/00,19,165.1,57.2,20.98,"LW,RW",LW,Cuba,66,77,1000000.0,2000.0,Right,1,3,3,Lean,1600000.0,54.75,56.8,56.0,71.8,61.0,46.0,30.0
11034,A. Marin,Anthony Marin,09/21/89,29,187.96,78.9,22.33,CB,CB,France,66,66,525000.0,2000.0,Right,1,3,2,Normal,919000.0,44.5,42.6,47.6,53.0,64.2,52.5,66.33
11035,C. Gunter,Chris Gunter,07/21/89,29,154.94,71.2,29.66,"RB,LB,RWB",RB,Wales,66,66,500000.0,9000.0,Right,1,4,2,Lean,950000.0,55.75,54.8,51.4,69.2,61.8,56.83,60.67
11036,M. van Bergen,Mitchell van Bergen,08/27/99,19,170.18,62.1,21.44,RW,RW,Netherlands,66,79,1200000.0,2000.0,Right,1,3,3,Lean,2400000.0,50.25,54.6,57.2,79.0,58.0,47.0,24.0
11037,G. Bijl,Glenn Bijl,07/13/95,23,154.94,76.2,31.74,"CDM,CM,RB",CDM,Netherlands,66,72,750000.0,2000.0,Right,1,2,3,Normal,1200000.0,51.5,51.4,55.4,63.2,69.0,54.67,62.33
